moneda_base,moneda_destino,valor_compra,valor_venta,fecha_hora,fecha_carga
USD,BRL,5.6802,5.6832,2025-04-01 16:36:45,2025-04-01 21:24:28
USD,BRLT,5.72086,5.89762,2025-04-01 16:36:45,2025-04-01 21:24:28
CAD,BRL,3.96137,3.97111,2025-04-01 16:36:04,2025-04-01 21:24:28
EUR,BRL,6.12745,6.14251,2025-04-01 16:36:04,2025-04-01 21:24:28
GBP,BRL,7.34244,7.34631,2025-04-01 16:37:15,2025-04-01 21:24:28
ARS,BRL,0.00529207,0.00530508,2025-04-01 16:36:45,2025-04-01 21:24:28
BTC,BRL,484421.0,484443.0,2025-04-01 16:36:32,2025-04-01 21:24:28
LTC,BRL,484.4,484.8,2025-04-01 16:36:42,2025-04-01 21:24:28
JPY,BRL,0.0380034,0.0380235,2025-04-01 16:36:45,2025-04-01 21:24:28
CHF,BRL,6.42728,6.44308,2025-04-01 16:36:04,2025-04-01 21:24:28
AUD,BRL,3.55957,3.56832,2025-04-01 16:36:04,2025-04-01 21:24:28
CNY,BRL,0.782711,0.782909,2025-04-01 16:36:45,2025-04-01 21:24:28
ILS,BRL,1.53503,1.53954,2025-04-01 16:36:14,2025-04-01 21:24:28
ETH,BRL,10909.0,10917.2,2025-04-01 16:36:51,2025-04-01 21:24:28
XRP,BRL,12.244,12.259,2025-04-01 16:37:03,2025-04-01 21:24:28
EUR,USD,1.07984,1.07989,2025-04-01 16:36:40,2025-04-01 21:24:28
CAD,USD,0.698,0.69808,2025-04-01 16:37:06,2025-04-01 21:24:28
GBP,USD,1.29219,1.29227,2025-04-01 16:36:52,2025-04-01 21:24:28
ARS,USD,0.000932076,0.000932083,2025-04-01 16:36:52,2025-04-01 21:24:28
JPY,USD,0.00669022,0.00669053,2025-04-01 16:36:37,2025-04-01 21:24:28
CHF,USD,1.13273,1.13291,2025-04-01 16:37:08,2025-04-01 21:24:28
AUD,USD,0.62727,0.62737,2025-04-01 16:36:47,2025-04-01 21:24:28
CNY,USD,0.137766,0.137804,2025-03-31 21:00:00,2025-04-01 21:24:28
ILS,USD,0.270421,0.270753,2025-04-01 14:59:51,2025-04-01 21:24:28
BTC,USD,84992.8,84992.8,2025-04-01 16:36:37,2025-04-01 21:24:28
LTC,USD,85.11,85.12,2025-04-01 16:37:07,2025-04-01 21:24:28
ETH,USD,1914.52,1914.53,2025-04-01 16:37:14,2025-04-01 21:24:28
XRP,USD,2.1502,2.1503,2025-04-01 16:36:34,2025-04-01 21:24:28
BRL,USD,0.175957,0.17605,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,EUR,0.1628,0.1632,2025-04-01 16:36:04,2025-04-01 21:24:28
USD,EUR,0.92603,0.92608,2025-04-01 16:36:45,2025-04-01 21:24:28
CAD,EUR,0.646379,0.646471,2025-04-01 16:36:54,2025-04-01 21:24:28
GBP,EUR,1.19657,1.19667,2025-04-01 16:37:12,2025-04-01 21:24:28
ARS,EUR,0.000863133,0.00086314,2025-04-01 16:36:36,2025-04-01 21:24:28
JPY,EUR,0.006192,0.006198,2025-04-01 16:36:32,2025-04-01 21:24:28
CHF,EUR,1.04891,1.04908,2025-04-01 16:37:08,2025-04-01 21:24:28
AUD,EUR,0.58088,0.58097,2025-04-01 16:36:53,2025-04-01 21:24:28
CNY,EUR,0.127574,0.127609,2025-04-01 16:36:33,2025-04-01 21:24:28
ILS,EUR,0.250194,0.250501,2025-04-01 14:59:51,2025-04-01 21:24:28
BTC,EUR,78758.3,78758.4,2025-04-01 16:37:17,2025-04-01 21:24:28
LTC,EUR,78.81,78.84,2025-04-01 16:36:59,2025-04-01 21:24:28
ETH,EUR,1774.09,1774.12,2025-04-01 16:36:48,2025-04-01 21:24:28
XRP,EUR,1.9904,1.9907,2025-04-01 16:36:37,2025-04-01 21:24:28
DOGE,BRL,0.9888,0.9893,2025-04-01 16:37:01,2025-04-01 21:24:28
DOGE,EUR,0.16065,0.16067,2025-04-01 16:37:08,2025-04-01 21:24:28
DOGE,USD,0.17338,0.17339,2025-04-01 16:36:39,2025-04-01 21:24:28
USD,JPY,149.472,149.481,2025-04-01 16:36:51,2025-04-01 21:24:28
USD,CHF,0.88267,0.88282,2025-04-01 16:37:08,2025-04-01 21:24:28
USD,CAD,1.43262,1.43274,2025-04-01 16:37:13,2025-04-01 21:24:28
NZD,USD,0.56976,0.56984,2025-04-01 16:36:54,2025-04-01 21:24:28
USD,ZAR,18.4318,18.4344,2025-04-01 16:36:45,2025-04-01 21:24:28
USD,TRY,37.8465,37.8849,2025-04-01 16:36:47,2025-04-01 21:24:28
USD,MXN,20.3503,20.3803,2025-04-01 16:36:55,2025-04-01 21:24:28
USD,PLN,3.87011,3.87863,2025-04-01 16:36:50,2025-04-01 21:24:28
USD,SEK,9.99816,10.0007,2025-04-01 16:37:09,2025-04-01 21:24:28
USD,SGD,1.34391,1.34406,2025-04-01 16:36:45,2025-04-01 21:24:28
USD,DKK,6.90958,6.91008,2025-04-01 16:36:46,2025-04-01 21:24:28
USD,NOK,10.4606,10.4627,2025-04-01 16:36:38,2025-04-01 21:24:28
USD,ILS,3.69396,3.69717,2025-04-01 15:02:23,2025-04-01 21:24:28
USD,HUF,372.017,372.196,2025-04-01 16:37:18,2025-04-01 21:24:28
USD,CZK,23.083,23.113,2025-04-01 16:36:43,2025-04-01 21:24:28
USD,THB,34.188,34.224,2025-04-01 16:36:56,2025-04-01 21:24:28
USD,AED,3.67265,3.67345,2025-04-01 13:00:17,2025-04-01 21:24:28
USD,JOD,0.7065,0.7115,2025-03-31 22:00:02,2025-04-01 21:24:28
USD,KWD,0.3078,0.3088,2025-04-01 16:11:25,2025-04-01 21:24:28
USD,HKD,7.78081,7.78106,2025-04-01 16:36:54,2025-04-01 21:24:28
USD,SAR,3.74672,3.75599,2025-04-01 16:31:34,2025-04-01 21:24:28
USD,INR,85.6198,85.6309,2025-04-01 16:36:45,2025-04-01 21:24:28
USD,KRW,1471.06,1471.57,2025-04-01 16:36:39,2025-04-01 21:24:28
FJD,USD,0.425695,0.4307,2025-03-31 22:00:01,2025-04-01 21:24:28
GHS,USD,0.0643876,0.0645802,2025-04-01 11:19:03,2025-04-01 21:24:28
KYD,USD,1.17322,1.22655,2025-04-01 11:19:03,2025-04-01 21:24:28
SGD,USD,0.744014,0.744075,2025-04-01 16:36:53,2025-04-01 21:24:28
USD,ALL,89.6923,94.3252,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,AMD,362.94,418.533,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,ANG,1.7441,1.83631,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,ARS,1072.87,1072.87,2025-04-01 16:36:52,2025-04-01 21:24:28
USD,AUD,1.59408,1.59433,2025-04-01 16:37:06,2025-04-01 21:24:28
USD,BBD,1.97379,2.06644,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,BDT,119.919,123.255,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,BGN,1.8003,1.81991,2025-04-01 16:32:40,2025-04-01 21:24:28
